(922, 183)
(481, 403)
(378, 819)
(841, 548)
(543, 523)
(519, 541)
(338, 471)
(958, 126)
(427, 249)
(942, 301)
(452, 30)
(515, 601)
(953, 783)
(570, 995)
(639, 612)
(359, 593)
(327, 456)
(900, 403)
(289, 949)
(405, 664)
(48, 471)
(298, 684)
(344, 37)
(372, 843)
(964, 303)
(530, 10)
(332, 196)
(738, 724)
(897, 998)
(87, 761)
(367, 144)
(205, 439)
(342, 668)
(165, 869)
(89, 847)
(392, 175)
(893, 464)
(215, 954)
(634, 320)
(165, 60)
(348, 307)
(639, 157)
(269, 556)
(879, 813)
(661, 749)
(227, 72)
(670, 303)
(52, 198)
(245, 932)
(157, 957)
(596, 547)
(709, 784)
(358, 458)
(581, 109)
(677, 909)
(265, 590)
(341, 783)
(836, 127)
(833, 189)
(706, 686)
(960, 570)
(558, 994)
(55, 796)
(815, 3)
(423, 115)
(480, 221)
(794, 5)
(256, 639)
(930, 750)
(874, 242)
(384, 530)
(480, 421)
(442, 421)
(778, 493)
(970, 773)
(680, 337)
(751, 74)
(159, 53)
(410, 776)
(98, 662)
(321, 507)
(342, 405)
(642, 473)
(343, 46)
(504, 119)
(701, 473)
(937, 679)
(850, 312)
(575, 998)
(999, 211)
(972, 87)
(693, 685)
(416, 498)
(553, 9)
(471, 502)
(366, 720)
(599, 543)
(914, 38)
(448, 87)
(642, 630)
(928, 681)
(847, 588)
(551, 673)
(267, 45)
(371, 952)
(713, 847)
(438, 543)
(361, 789)
(514, 771)
(880, 438)
(98, 47)
(970, 632)
(164, 771)
(827, 643)
(215, 975)
(492, 869)
(168, 419)
(716, 197)
(803, 40)
(344, 693)
