(188303, 532251)
(277640, 925026)
(168685, 113221)
(385578, 594459)
(158020, 906119)
(940045, 279271)
(160793, 326352)
(565003, 299193)
(981466, 806378)
(639008, 952478)
(267865, 721027)
(181091, 928972)
(646092, 576257)
(243796, 390302)
(583526, 927084)
(322616, 640944)
(654501, 382650)
(898352, 684117)
(992919, 822398)
(504739, 223321)
(463444, 449440)
(258249, 760081)
(693623, 657861)
(916558, 575652)
(681218, 831805)
(466603, 315664)
(935784, 435554)
(204219, 283083)
(831528, 581857)
(364751, 700896)
(377541, 689884)
(913933, 952051)
(931052, 390072)
(651134, 776946)
(377937, 611917)
(998449, 630516)
(556533, 901065)
(779933, 712792)
(340998, 182563)
(432846, 103082)
(139910, 751071)
(700563, 588806)
(445314, 196545)
(554664, 464536)
(654372, 672050)
(785732, 617093)
(907276, 617449)
(168720, 507588)
(892336, 126059)
(212646, 334148)
(844269, 254077)
(911993, 951017)
(162538, 928176)
(120819, 242165)
(772658, 687899)
(917319, 929632)
(809969, 647642)
(703983, 851500)
(441189, 618899)
(359777, 672615)
(682567, 438891)
(287498, 732341)
(354447, 731286)
(819573, 715480)
(898092, 614859)
(383635, 153970)
(360039, 283034)
(385999, 979013)
(611850, 183888)
(835524, 253079)
(984806, 357598)
(399318, 566725)
(327360, 201205)
(461701, 227382)
(821070, 841842)
(588597, 515347)
(188912, 427907)
(170000, 895671)
(473743, 957975)
(582590, 862875)
(148361, 282347)
(189582, 966643)
(829781, 258309)
(519471, 825154)
(957408, 191948)
(331466, 953392)
(843711, 489307)
(290480, 620594)
(169942, 575498)
(230713, 469116)
(994613, 495327)
(518123, 621296)
(542258, 366425)
(308492, 179866)
(354643, 450122)
(650984, 962834)
(886399, 227034)
(585452, 956947)
(326451, 362244)
(856189, 714417)
(106651, 173419)
(489661, 235050)
(736760, 972076)
(350964, 803327)
(913735, 461553)
(920285, 679940)
(425972, 704575)
(703468, 353146)
(341930, 669146)
(756782, 662762)
(437838, 611089)
(849838, 948413)
(204682, 923470)
(849172, 369754)
(117119, 437796)
(966087, 795953)
(793095, 540931)
(180679, 432305)
(987562, 509585)
(724691, 409831)
