(753603, 519527)
(262582, 610282)
(975811, 121043)
(647829, 214256)
(866593, 115106)
(282468, 609116)
(344475, 317013)
(709631, 347040)
(437891, 691556)
(863101, 261531)
(604986, 506136)
(441516, 900399)
(926050, 431112)
(922394, 850786)
(208973, 898005)
(108306, 473327)
(816896, 960559)
(143854, 451790)
(629130, 976485)
(990350, 164166)
(288990, 796500)
(660215, 889694)
(285294, 249347)
(730195, 365160)
(832158, 507504)
(444461, 147491)
(312351, 754386)
(280481, 575008)
(714610, 220323)
(600330, 709057)
(448595, 687010)
(359842, 350601)
(554187, 471343)
(183084, 903556)
(751061, 410755)
(389019, 499611)
(899559, 709775)
(182706, 505488)
(270555, 391409)
(551846, 924725)
(748589, 208999)
(230326, 517230)
(799753, 628500)
(590194, 545470)
(828172, 375493)
(400173, 119665)
(255019, 255672)
(182930, 228520)
(899139, 946475)
(692221, 476064)
(794127, 494439)
(135823, 350032)
(426683, 242825)
(145628, 362628)
(657407, 529678)
(858526, 763527)
(433859, 986857)
(975822, 688467)
(178206, 912209)
(931370, 570428)
(784476, 327608)
(858537, 216076)
(355378, 316328)
(172942, 186921)
(718226, 762798)
(389216, 107640)
(871458, 235402)
(414942, 146863)
(510864, 617591)
(579069, 353228)
(490760, 613464)
(580505, 862928)
(855689, 542057)
(773095, 926077)
(721197, 932672)
(745705, 540754)
(540764, 824280)
(344307, 839826)
(627210, 885145)
(437709, 453833)
(164570, 941138)
(534396, 377488)
(465303, 917767)
(430527, 664327)
(197829, 865582)
(118930, 611863)
(523942, 567899)
(790764, 135396)
(235886, 676279)
(214357, 602450)
(768727, 815521)
(535756, 724619)
(435790, 552473)
(826930, 310617)
(193263, 630285)
(522389, 930145)
(673943, 592825)
(981770, 933170)
(262315, 471855)
(345332, 380446)
(962796, 917477)
(435299, 274440)
(430881, 150098)
(689716, 188009)
(913722, 473838)
(904205, 176716)
(142145, 113531)
(793293, 731921)
(146313, 682535)
(145049, 560462)
(398004, 186555)
(912771, 792802)
(802975, 593985)
(614784, 905067)
(551210, 365180)
(224900, 805120)
(595702, 653140)
(168006, 461737)
(580694, 279665)
(510406, 314922)
(229421, 564291)
(963262, 810790)
(788694, 886231)
(659730, 791400)
(219214, 217384)
(408737, 521821)
(514275, 153238)
(849037, 639816)
(950819, 612917)
(439861, 978836)
(291828, 347141)
(789580, 561664)
(922941, 738146)
(159593, 360450)
(826005, 957719)
(248015, 920481)
(321440, 187203)
(397061, 989933)
(333531, 128234)
(705286, 157970)
(310699, 503244)
(876113, 490153)
(367824, 676900)
(987722, 578851)
(360308, 811714)
(122902, 652480)
(386686, 325667)
(731522, 575055)
(613704, 537958)
(663518, 905603)
(401848, 946692)
(183798, 426065)
(615873, 700913)
(960786, 764682)
(938141, 149223)
(932692, 687962)
(466629, 322732)
(638496, 985240)
(147826, 213259)
(171676, 836610)
(152809, 836250)
(469566, 110483)
(465543, 928127)
(654781, 129588)
(368487, 722186)
(602384, 429533)
(258220, 764918)
(781440, 516975)
(743888, 200336)
(105558, 177310)
(776257, 239264)
(190792, 480077)
(826481, 948329)
(905042, 235493)
(220280, 990984)
(654277, 483591)
(290286, 418396)
(776317, 687343)
(149672, 243315)
(596509, 286620)
